사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2025-12,2호선,0212,건대입구,294 ,8 ,14165 ,1718 ,22232 ,15479 ,55533 ,24697 ,96164 ,63177 ,68290 ,54936 ,46071 ,53801 ,45332 ,58618 ,53618 ,66992 ,58768 ,71157 ,63609 ,71312 ,72524 ,79193 ,83664 ,94391 ,93203 ,118762 ,100596 ,161273 ,77881 ,114149 ,80038 ,74978 ,82929 ,68647 ,81588 ,64002 ,49264 ,38644 ,8753 ,15142 ,168 ,2372 ,4 ,58 ,0 ,0 
2025-12,2호선,0213,구의(광진구청),60 ,2 ,13749 ,1263 ,28379 ,14180 ,78381 ,20808 ,130122 ,49794 ,80765 ,29065 ,47829 ,27294 ,40688 ,32227 ,42021 ,35085 ,43237 ,37133 ,42506 ,40468 ,44696 ,48001 ,52366 ,58961 ,52089 ,77872 ,58355 ,115066 ,34478 ,83795 ,28591 ,56518 ,28567 ,52522 ,22445 ,50206 ,11185 ,28865 ,2084 ,9869 ,58 ,692 ,1 ,11 ,0 ,0 
2025-12,2호선,0214,강변(동서울터미널),47 ,1 ,8933 ,1790 ,21125 ,17679 ,63875 ,20393 ,100616 ,39082 ,79349 ,33550 ,66344 ,33552 ,59397 ,34996 ,52450 ,38626 ,50057 ,44360 ,47157 ,48576 ,51288 ,57403 ,54847 ,62246 ,57616 ,73204 ,57314 ,91528 ,37183 ,66005 ,28936 ,48345 ,23200 ,39481 ,15779 ,33992 ,6011 ,18754 ,1405 ,5266 ,18 ,313 ,0 ,8 ,0 ,0 
2025-12,2호선,0215,잠실나루,12 ,0 ,3262 ,2473 ,12972 ,13887 ,38371 ,22892 ,49906 ,39695 ,32791 ,26231 ,27764 ,19729 ,28035 ,17966 ,25979 ,22511 ,23252 ,23709 ,25406 ,22816 ,29104 ,23388 ,36453 ,25029 ,40514 ,31192 ,31011 ,41700 ,15527 ,30034 ,11166 ,20002 ,8371 ,20512 ,6108 ,18726 ,2692 ,10301 ,1195 ,3211 ,111 ,226 ,0 ,6 ,0 ,0 
2025-12,2호선,0216,잠실(송파구청),101 ,3 ,13691 ,5320 ,51042 ,33786 ,123886 ,80586 ,165443 ,180258 ,121881 ,193370 ,94136 ,150644 ,101916 ,154992 ,114949 ,154005 ,129812 ,160216 ,150327 ,166732 ,183089 ,183990 ,213969 ,205493 ,245725 ,234641 ,272655 ,276762 ,211404 ,182480 ,212598 ,119540 ,206571 ,107115 ,140056 ,97377 ,40626 ,62243 ,31159 ,15280 ,1761 ,1195 ,0 ,0 ,0 ,0 
2025-12,2호선,0217,잠실새내,32 ,0 ,5977 ,1110 ,18473 ,9965 ,62638 ,18341 ,88061 ,31610 ,56834 ,32008 ,41644 ,27692 ,39171 ,30463 ,40676 ,34989 ,40371 ,39087 ,37690 ,44068 ,41939 ,49829 ,45980 ,57758 ,48416 ,73696 ,48315 ,94303 ,36045 ,63810 ,31398 ,42529 ,30690 ,39254 ,29060 ,35632 ,14709 ,19727 ,3660 ,6363 ,178 ,464 ,0 ,2 ,0 ,0 
2025-12,2호선,0218,종합운동장,26 ,2 ,1787 ,1720 ,6148 ,18375 ,16133 ,15053 ,23016 ,26932 ,17159 ,14244 ,13239 ,11960 ,12949 ,11932 ,13636 ,14926 ,12540 ,22211 ,18896 ,22789 ,17976 ,18524 ,29308 ,22074 ,34599 ,27373 ,19341 ,41071 ,11775 ,21400 ,14254 ,12723 ,28669 ,12562 ,13827 ,11887 ,2902 ,6808 ,549 ,2173 ,56 ,234 ,0 ,5 ,0 ,0 
2025-12,2호선,0219,삼성(무역센터),120 ,0 ,4631 ,7182 ,7052 ,53530 ,14068 ,141821 ,20065 ,317759 ,22334 ,256885 ,29686 ,141416 ,47204 ,112371 ,63381 ,103539 ,82791 ,111711 ,109040 ,101171 ,140357 ,91170 ,177904 ,91021 ,272608 ,95822 ,315965 ,85876 ,179965 ,47419 ,150831 ,25977 ,128682 ,19421 ,85612 ,14056 ,23820 ,7855 ,3353 ,4173 ,79 ,1521 ,0 ,27 ,0 ,0 
2025-12,2호선,0220,선릉,167 ,9 ,5012 ,6453 ,11912 ,48502 ,22891 ,127131 ,37238 ,296718 ,38594 ,222425 ,44277 ,109587 ,56386 ,76159 ,68459 ,68503 ,76169 ,79835 ,89829 ,64297 ,115454 ,58200 ,148541 ,60321 ,229540 ,69172 ,293323 ,68684 ,150161 ,43309 ,105116 ,29214 ,98683 ,25945 ,81858 ,22388 ,31391 ,13725 ,5504 ,6422 ,44 ,600 ,3 ,24 ,0 ,0 
2025-12,2호선,0221,역삼,71 ,3 ,3505 ,7366 ,8697 ,44682 ,16024 ,153407 ,27149 ,351416 ,26002 ,313041 ,28710 ,133825 ,38448 ,77302 ,46956 ,66766 ,56157 ,72495 ,70164 ,57491 ,89948 ,48662 ,119524 ,51760 ,235590 ,70291 ,263646 ,73944 ,156458 ,43149 ,95683 ,25868 ,92143 ,22570 ,70134 ,19648 ,25956 ,11811 ,4960 ,4259 ,35 ,394 ,0 ,21 ,0 ,0 
